id,per_square_meter_price
COL_289284,142300.78514652338
COL_289305,336459.95574587106
COL_289318,343984.0664445313
COL_289354,383411.9386097164
COL_289399,436722.90827627596
COL_289428,292747.0341486899
COL_289460,141927.14839082636
COL_289493,249467.50356216286
COL_289495,374158.6324736695
COL_289749,438354.0832826853
COL_289763,455776.6416890819
COL_289778,394304.80274348083
COL_289801,371429.3217216272
COL_289971,385010.437356244
COL_290143,436393.365061201
COL_290252,389575.2634931159
COL_290336,487119.32826692116
COL_290398,422522.43609124905
COL_290403,629615.5255634486
COL_290431,403825.84888713824
COL_290466,243893.50398550992
COL_290486,345207.77094263776
COL_290497,322126.5709698421
COL_290510,334735.19699020556
COL_290559,302337.68837009306
COL_290600,512139.65869758953
COL_290602,432510.5329060989
COL_290716,285664.7962925251
COL_290717,485104.76025503356
COL_290876,530486.2112109454
COL_290966,361154.49436992645
COL_291008,163914.98892104859
COL_291021,361929.5047778355
COL_291043,283319.23104846926
COL_291190,451605.9390707946
COL_291192,235167.02353609295
COL_291274,241025.69703739154
COL_291284,234633.63046588167
COL_291397,497479.253517913
COL_291450,206656.9869603545
COL_291738,140709.75659669377
COL_291740,290430.93417777336
COL_291825,267412.5246053155
COL_291900,195086.9779582268
COL_292045,131162.45442760177
COL_292135,450359.1997657128
COL_292258,238200.29147478257
COL_292275,543796.1847997499
COL_292279,209787.18830321298
COL_292364,444759.76972317713
COL_292417,179155.06590545073
COL_292421,298047.46693113644
COL_292501,311205.4795807748
COL_292906,91634.06401403918
COL_292926,160801.84691511368
COL_293123,607922.536808308
COL_293135,310832.4299531439
COL_293496,642525.1511091309
COL_293497,234799.8973366046
COL_293588,483482.788689602
COL_293631,299105.6476282599
COL_293703,314567.81185139203
COL_293773,564982.8119135242
COL_293780,117341.10694366052
COL_293783,377688.0683777375
COL_293826,144525.5733149203
COL_293889,159674.1601109209
COL_293952,355829.61583057436
COL_293956,279720.0658815331
COL_294068,422587.1674071644
COL_294101,542744.2850703595
COL_294115,89131.55154292354
COL_294143,333271.7221843098
COL_294200,326069.4670865717
COL_294245,159967.04088700726
COL_294261,288544.3403439646
COL_294293,381550.88810228196
COL_294300,272975.1735968184
COL_294350,306385.73390037875
COL_294488,511282.78476273344
COL_294525,536751.4654245601
COL_294558,501154.038186817
COL_294593,361773.2641706806
COL_294729,662686.3249102869
COL_294785,438941.7032439897
COL_294917,312873.64651002537
COL_294951,508940.1911467512
COL_294975,480126.91514758405
COL_295255,551489.4641245721
COL_295327,312498.41567571333
COL_295509,290835.720759464
COL_295595,426431.7488655999
COL_296322,350878.0474284064
COL_296509,356905.89777501294
COL_296521,544011.533573378
COL_296756,287572.05412605795
COL_296901,666231.1441049356
COL_297293,51649.055579990614
COL_297324,429765.12385924347
COL_297326,489354.2617861264
COL_297329,290265.5523156389
COL_297441,242220.52936730924
COL_297472,237872.6029295813
COL_297631,311954.1624117464
COL_297815,305792.4601163595
COL_298020,521749.48358392407
COL_298046,236502.7999826956
COL_298052,425273.92041733925
COL_298055,712002.8492443576
COL_298064,219947.66214122117
COL_298075,548041.0997235602
COL_298099,262357.291867674
COL_298101,168859.5884690557
COL_298102,219747.9699121358
COL_298104,251102.5431473569
COL_298261,319084.4979447227
COL_298459,667768.3052725164
COL_298471,333467.91134113603
COL_298481,263276.7397680769
COL_298516,265498.7224340193
COL_298532,413327.3389735136
COL_298539,191124.43043483683
COL_298593,755218.7854548178
COL_298719,616408.2727162748
COL_298724,317864.7423010794
COL_298817,254523.4630532681
COL_298837,297466.2919176173
COL_298968,386744.4111800856
COL_299209,401751.58901690907
COL_299221,332211.6581866492
COL_299361,383133.8896668922
COL_299366,416812.6861982124
COL_299450,214127.97685501323
COL_299454,107495.3987981282
COL_299455,196505.02444382996
COL_299459,306832.57017833245
COL_299464,271087.912165919
COL_299468,224074.88583850343
COL_299486,169326.09764566075
COL_299491,231536.12064077466
COL_299497,286356.8227540292
COL_299499,242330.68031299068
COL_299501,277621.48395567894
COL_299540,193227.22468961048
COL_299615,325181.80570930295
COL_299659,555153.2708793535
COL_299678,645101.3475485822
COL_299795,287319.9793559483
COL_299818,300649.9188440441
COL_299819,352252.9017437611
COL_299820,291466.904790043
COL_299960,159022.64177031285
COL_300095,364306.6344203477
COL_300108,310719.1934052196
COL_300125,275150.39192880545
COL_300144,628119.1331806947
COL_300225,258904.8842380643
COL_300305,686749.1742648083
COL_300423,372268.3989565832
COL_300491,295357.5951953879
COL_300562,321534.88382081484
COL_300747,273089.20523542573
COL_300816,413964.14154793747
COL_300942,357379.9613992576
COL_300959,257341.86028815038
COL_300962,473373.9686878534
COL_301220,318963.39406486927
COL_301285,425947.1892832473
COL_301290,416670.74219103914
COL_301303,153996.66772084788
COL_301367,196364.45899825438
COL_301368,115680.80673950363
COL_301378,193986.45368447492
COL_301401,568138.831854869
COL_301444,160086.94090232567
COL_301445,313108.3654598755
COL_301574,351653.88657686504
COL_301649,445727.21478264575
COL_301669,566579.9761892041
COL_301670,346079.0279763438
COL_301679,415345.06291870953
COL_301709,402177.1374763542
COL_301757,677260.1638961573
COL_301820,702051.7523398626
COL_301822,604613.5998767045
COL_301823,659121.8257248872
COL_301843,313539.5404077677
COL_301976,541231.7997957921
COL_301986,468909.6203342985
COL_302111,115262.6086504631
COL_302139,305939.39060919965
COL_302293,-136974.43544405408
COL_302294,104528.95403378905
COL_302428,390531.82698661694
COL_302465,252944.18373033026
COL_302497,382496.3048396268
COL_302548,338948.9025572317
COL_302597,216487.83111096098
COL_302726,403435.5328517005
COL_302745,563706.6514099938
COL_302873,460023.144084098
COL_302926,251863.90893110324
COL_302986,345258.6933853211
COL_302987,387088.9550072278
COL_302994,432915.3416458765
COL_303002,434045.7139432959
COL_303004,152462.38022942626
COL_303007,313592.9778677758
COL_303069,469313.53688982426
COL_303147,242257.67192655854
COL_303265,587393.5591403113
COL_303285,311593.8456469418
COL_303366,539400.4788438729
COL_303405,337737.26037993946
COL_303564,410810.4536973384
COL_303569,500513.97355800646
COL_303618,403420.87018395617
COL_303623,206740.1649183496
COL_303624,196481.02316660178
COL_303625,263094.67981051706
COL_303626,82231.32230951959
COL_303627,90145.73902429747
COL_303637,194836.53965851828
COL_303638,330555.2215450108
COL_304041,473325.7038369281
COL_304147,525390.6538776825
COL_304255,421170.4830482242
COL_304280,314427.1568850283
COL_304320,126380.47614480338
COL_304322,216915.8275126277
COL_304323,158484.7311167781
COL_304325,201973.9949831321
COL_304367,503327.12485560303
COL_304546,363002.26801859663
COL_304550,318615.6143980679
COL_304552,193438.97561719106
COL_304561,235697.65727048175
COL_304585,303939.93876075686
COL_304853,308761.9569927514
COL_304902,139573.57920994097
COL_304978,520847.3423973349
COL_304984,242012.79892277397
COL_305002,394722.1789072795
COL_305017,78572.47284714166
COL_305038,382276.02958700375
COL_305057,284186.2458148034
COL_305058,261687.44292136474
COL_305059,260761.03480544424
COL_305114,1038015.018295545
COL_305373,664392.5920673449
COL_305382,553542.2616532423
COL_305383,362268.7190064271
COL_305384,510408.4975515561
COL_305385,510408.4975515561
COL_305386,514030.86437629064
COL_305387,510408.4975515561
COL_305388,345118.7934938104
COL_305413,67379.59429428683
COL_305607,322151.4166777653
COL_305652,383155.7090471554
COL_305726,550060.7404164976
COL_305896,478674.11167592206
COL_305924,253116.59847714985
COL_305926,260074.91736879706
COL_306033,525840.3515218619
COL_306088,419013.8354195353
COL_306141,322067.5035541462
COL_306143,497213.8730477381
COL_306144,686543.9023039724
COL_306154,588697.5351048225
COL_306206,304136.07604807307
COL_306621,481493.65337474056
COL_306728,375853.7499258287
COL_306758,314364.75054904114
COL_306763,54004.58949209069
COL_306803,537437.0302819952
COL_306853,260687.39364213147
COL_306892,340210.3264701706
COL_306938,207775.06902100495
COL_307001,392502.1405550632
COL_307043,542609.1754109615
COL_307158,441282.7283164794
COL_307269,360344.8274802153
COL_307356,229727.47434000066
COL_307480,365513.88954640395
COL_307529,355576.73442440823
COL_307623,523502.0411187531
COL_307819,266272.0706633087
COL_307874,328726.8531820865
COL_307945,301155.3822438411
COL_307986,280819.4404832112
COL_308211,318693.1530521204
COL_308429,328494.15164182516
COL_308446,67175.5587662578
COL_308472,321583.55519259133
COL_308486,547476.0139590075
COL_308492,477461.1254372155
COL_308493,414391.27428870247
COL_308743,323434.56050759676
COL_308803,333298.4127831423
COL_308813,548150.7571859653
COL_308963,675010.853733487
COL_309079,242105.2777383579
COL_309121,333467.91134113603
COL_309434,312427.5106711039
COL_309612,268896.28050139564
COL_309642,353679.14414037607
COL_309784,240011.13704556547
COL_310093,292840.03858291876
COL_310107,203659.92723824794
COL_310164,349133.2392521241
COL_310207,179854.35778166557
COL_310218,186629.39150171896
COL_310311,437732.76445428224
COL_310315,389953.87324523745
COL_310359,237250.4060504457
COL_310405,264848.1317398451
COL_310447,467467.2846599872
COL_310503,316536.4614376057
COL_310570,608423.8249289683
COL_310590,612499.0570818023
COL_310604,255004.5978866709
COL_310641,642542.5927523957
COL_310642,318457.65276122745
COL_310656,690067.5788144284
COL_310722,84754.59178093915
COL_310897,263148.41399700654
COL_311016,282938.36097886926
COL_311017,506476.5920670325
COL_311018,532263.5617249615
COL_311025,158790.96387358883
COL_311026,234517.28049869643
COL_311068,198147.25490320678
COL_311128,360288.13409035385
COL_311187,365952.79330677196
COL_311188,351325.321038655
COL_311328,231375.809633372
COL_311348,211782.89010007068
COL_311537,369541.7658867017
COL_311660,259263.36438393767
COL_311665,51738.75210997845
COL_311698,226673.01998004655
COL_311704,696084.5101810058
COL_311870,347633.2576395082
COL_312002,360178.9959279411
COL_312006,300131.5007423192
COL_312007,354229.6294321723
COL_312010,300514.3007572738
COL_312014,351012.57564381516
COL_312208,335074.521028726
COL_312270,307854.75193322636
COL_312284,340681.32415926916
COL_312290,271843.1895055701
COL_312323,289864.4311732514
COL_312335,394853.2181429264
COL_312455,257848.67427986144
COL_312609,62304.801166807054
COL_312628,117819.49043169912
COL_312649,181051.94854167436
COL_312672,65211.46185358842
COL_312695,382205.0055709122
COL_312997,794632.99712929
COL_313006,499991.3873255299
COL_313065,594773.6069135987
COL_313068,366200.4144151444
